id;autor;isbn;editora;edicao
1;Mesa Peixe;56616;turquesa Forward forecast;Agent
2;compress state mobile;14112;Rua;Peixe Tocantins
3;connect Goiás ADP;84220;Industrial Algodão Paradigm;Bedfordshire driver Macio
4;Jogos;60548;bleeding-edge Ceará Genérico;Mouse programming cross-platform
5;optical blockchains orchestrate;79161;withdrawal Australian;Sapatos navigating Ergonômico
6;Zambian backing;65376;syndicate;Macio
7;Escudo;15564;Producer Svalbard;Product Web
8;Industrial;79272;Future-proofed;Marketing
9;Lustroso;74851;Director Paraíba Rondônia;e-tailers functionalities Supervisor
10;payment Brinquedos Home;46751;Paradigm calculate withdrawal;quantify
