id;titulo;preco;data_publicacao;status
1;Filmes Cross-group Peixe;95957;Lindo backing Dalasi;RESERVADO
2;parse Supervisor Avenida;5011;Taiwan;BLOQUEADO
3;Optimization;14278;grená Fresco;RESERVADO
4;Afghani Cambridgeshire Plástico;56191;bandwidth ROI evolve;BLOQUEADO
5;models;2654;override Pará;BLOQUEADO
6;Calças Rondônia;29841;Cambridgeshire payment;RESERVADO
7;Peixe Accountability;58963;Upgradable;EMPRESTADO
8;Queijo;67035;utilisation Sharable virtual;RESERVADO
9;Money;74635;program panel bypassing;RESERVADO
10;mobile synthesizing system;72148;Calças;DISPONIVEL
